app_cpu_mean,app_mem_mb_mean,cadvisor_cpu_mean,cadvisor_mem_mb_mean,case,error_rate,grafana_cpu_mean,grafana_mem_mb_mean,mean_latency_ms,p95_latency_ms,prometheus_cpu_mean,prometheus_mem_mb_mean,run,throughput_rps,wall_seconds
,,,,docker_full,0.9366666666666666,,,73.3443620533156,647.4487920004321,,,18,136.15325723967288,2.2033993610002653
,,,,docker_full,0.0,,,3.3985892066842402,3.745975000128965,,,19,2811.851165326938,0.1066912800006321
,,,,docker_full,0.6533333333333333,,,395.359346990017,1534.499646999393,,,20,25.28730907855727,11.863658528000087
23.93,40.59,,,docker,0.0,,,5.888717006673687,7.229060000099707,,,1,1643.7807817203354,0.18250608799917245
15.46,37.31,,,docker,0.0,,,5.759492986683957,7.384792999800993,,,2,1658.5049518792202,0.18088580299991008
14.69,36.84,,,docker,0.0,,,5.4213730200171995,7.670188999327365,,,3,1764.8352447719103,0.16998753900043084
31.01,37.98,,,docker,0.0,,,6.398573623343206,8.210655000766565,,,4,1498.3572610322433,0.20021927200014034
13.95,37.91,,,docker,0.0,,,5.206265950027955,6.363575000250421,,,5,1828.3519427616536,0.16408219499953702
17.6,38.0,,,docker,0.0,,,6.50916712667519,7.970433999616944,,,6,1476.9444103618182,0.2031220660001054
14.23,37.57,,,docker,0.0,,,5.26826455000446,6.637318999310082,,,7,1798.6927424877256,0.16678779700032464
13.47,37.36,,,docker,0.0,,,5.0751778933681635,6.125708000581653,,,8,1881.0508939715394,0.15948531800040655
33.28,37.62,,,docker,0.0,,,5.51305713665594,7.121487999938836,,,9,1736.0163836877982,0.1728094290001536
14.66,37.59,,,docker,0.0,,,5.475678813330281,7.244820999403601,,,10,1741.8073655085616,0.17223489000025438
17.44,37.26,,,docker,0.0,,,6.50721225997889,7.707379000748915,,,11,1479.271457225694,0.20280253400051151
15.83,37.91,,,docker,0.0,,,5.855937736696433,7.612420999976166,,,12,1629.673680711114,0.1840859330004605
16.44,37.65,,,docker,0.0,,,6.092205880031543,7.521880999775021,,,13,1574.0570052745177,0.1905903019996913
34.39,37.18,,,docker,0.0,,,6.0179879466340935,7.3568509997130604,,,14,1596.9515855046125,0.1878579180001907
17.48,37.08,,,docker,0.0,,,6.515459296676151,8.04589500057773,,,15,1475.6492928197665,0.2033003380001901
16.07,37.8,,,docker,0.0,,,5.984130543317103,7.804079999914393,,,16,1604.483560304747,0.18697605099987413
15.25,37.59,,,docker,0.0,,,5.575796676669901,7.833314999516006,,,17,1707.911116595426,0.17565316899981553
15.24,37.38,,,docker,0.0,,,5.662292963294627,7.605617999615788,,,18,1691.5682713833328,0.17735021699991194
32.46,37.34,,,docker,0.0,,,5.340715266647749,7.2391789999528555,,,19,1789.1915048580847,0.16767349899964756
15.97,37.88,,,docker,0.0,,,5.942704696690271,7.743997999568819,,,20,1613.9314216045982,0.1858815039995534
0.16,37.1,3.3,26.2,docker_prometheus,0.0,,,5.9360396933486,7.708911000008811,0.12,65.39,1,1623.3988836152162,0.18479746600041835
0.35,37.26,10.57,26.45,docker_prometheus,0.0,,,5.797174366665179,8.299801999783085,1.45,77.18,2,1663.979616919697,0.18029066999952192
0.15,36.39,2.2,30.57,docker_prometheus,0.0,,,5.963425736660308,7.955714999297925,0.96,78.67,3,1614.346138794455,0.18583375200068986
15.2,36.67,8.23,31.22,docker_prometheus,0.0,,,5.685798213341211,7.898607999777596,0.93,80.05,4,1685.075659529674,0.17803354900024715
15.12,38.21,4.0,31.11,docker_prometheus,0.0,,,5.566939169966645,7.892997999988438,0.73,73.95,5,1717.9100529304926,0.17463079600020137
15.44,38.22,3.6,32.27,docker_prometheus,0.0,,,5.730417946663995,7.715683999776957,0.92,73.57,6,1668.4505183451433,0.17980755000007775
0.17,36.89,8.61,32.49,docker_prometheus,0.0,,,5.413252073346181,7.796566000251914,0.07,73.42,7,1760.1453147822838,0.17044047299987142
0.36,37.6,1.9,32.99,docker_prometheus,0.0,,,6.183106686664056,7.4918740001521655,1.57,75.45,8,1554.6081370506754,0.19297467500018683
16.23,37.78,9.92,37.36,docker_prometheus,0.0,,,5.9220827833784515,7.842202000574616,1.69,74.19,9,1605.5263673203522,0.18685460800043074
14.37,36.95,1.5,37.7,docker_prometheus,0.0,,,5.4237130666903495,7.0997769998939475,0.08,74.91,10,1759.8920806000303,0.17046499800017045
18.11,37.88,8.68,39.37,docker_prometheus,0.0,,,5.769563093332787,7.385464000435604,0.05,74.18,11,1658.195700233281,0.1809195380001256
0.35,37.54,1.42,38.77,docker_prometheus,0.0,,,6.457089523316123,7.816073000867618,1.16,74.97,12,1486.4896965043627,0.20181774599950586
0.14,37.9,8.97,38.27,docker_prometheus,0.0,,,5.9708535567066665,7.863311000619433,0.07,74.58,13,1594.6926841375594,0.1881240210004762
16.71,37.4,1.76,37.86,docker_prometheus,0.0,,,6.169518069991682,8.09190200016019,0.93,74.62,14,1556.7120877037557,0.1927138629998808
20.95,38.21,9.61,38.01,docker_prometheus,0.0,,,5.318710820001797,6.670992000181286,0.82,74.97,15,1803.2979542497628,0.1663618590000624
14.77,37.63,1.76,38.65,docker_prometheus,0.0,,,5.472752703335573,6.632158999309468,0.97,75.38,16,1751.5896186625127,0.1712729950004359
16.97,38.02,9.62,42.07,docker_prometheus,0.0,,,6.309911180002625,7.966195000335574,0.84,75.01,17,1523.9632476754966,0.19685514100001456
18.04,37.82,1.37,41.82,docker_prometheus,0.0,,,6.790061669962597,7.5033349994555465,0.98,77.77,18,1416.0545715707774,0.21185624200006714
14.49,37.65,10.72,41.8,docker_prometheus,0.0,,,5.322297030009698,6.769016000362171,0.83,77.02,19,1795.7633023243181,0.16705987900058972
0.36,37.58,1.56,42.05,docker_prometheus,0.0,,,5.576405723319719,7.417062999593327,0.83,76.46,20,1717.76553425415,0.17464548800035118
15.65,35.96,2.69,23.61,docker_full,0.0,0.03,66.26,6.350849803360082,7.683413000449946,0.13,57.34,1,1512.9440457386365,0.19828889299969887
0.17,37.28,9.61,27.05,docker_full,0.0,0.05,66.26,6.126733366712264,8.143787999870256,1.03,72.42,2,1572.9182980794021,0.19072827899981348
30.48,37.59,2.43,26.11,docker_full,0.0,0.16,66.76,6.083585740016133,7.753123999464151,5.55,69.11,3,1577.7028763930452,0.19014987199989264
17.88,38.21,9.29,33.14,docker_full,0.0,0.03,66.27,6.585517136733567,7.586550999803876,0.9,67.84,4,1462.149895883332,0.20517732200005412
0.4,36.8,2.85,33.29,docker_full,0.0,0.03,66.27,5.705289043350301,7.540945000073407,1.0,67.62,5,1676.7816095240082,0.17891417600003479
18.61,37.79,1.67,32.6,docker_full,0.0,0.27,66.52,5.7123273699714145,7.555774000138626,0.77,67.71,6,1682.0722241716521,0.17835143799948128
0.4,37.94,1.94,34.88,docker_full,0.0,0.03,66.52,5.614060043286979,7.246602999657625,0.93,68.01,7,1698.306638264183,0.17664654500003962
0.16,37.83,1.38,34.12,docker_full,0.0,0.03,66.27,5.727949483334669,7.279104000190273,0.89,67.96,8,1675.2718213633325,0.17907541700060392
0.41,37.59,8.66,35.44,docker_full,0.0,0.1,66.27,6.845994146675973,7.955985999615223,0.88,67.95,9,1408.9072100069448,0.21293098499972984
0.16,36.77,1.82,34.58,docker_full,0.0,0.04,66.31,6.022732466687255,7.983718000105,0.91,69.13,10,1599.2465373847162,0.18758833799984131
18.44,37.69,2.96,35.03,docker_full,0.0,0.03,66.31,5.932729620026294,8.040564000111772,0.93,68.17,11,1617.89008494823,0.18542668800000683
0.38,37.45,9.44,35.83,docker_full,0.0,0.03,66.31,5.984008949993344,7.538220999776968,1.81,69.42,12,1603.9538274452418,0.18703780300074868
4.73,37.98,1.82,36.5,docker_full,0.0,0.2,66.81,5.9087435799907935,7.774644999699376,0.0,71.26,13,1627.1001557980348,0.18437709499994526
0.38,37.69,7.73,41.04,docker_full,0.0,0.03,66.31,6.483175163336152,8.377046000532573,1.78,71.34,14,1488.60326087867,0.2015311989998736
0.16,37.54,3.02,40.66,docker_full,0.0,0.03,66.31,5.757500693322679,7.300964999558346,0.0,70.64,15,1672.8914586145086,0.17933022399938636
0.41,37.61,2.77,39.81,docker_full,0.0,0.2,66.56,5.826818133358151,7.775646000482084,1.73,70.94,16,1639.856919202316,0.18294279000019742
16.48,37.35,1.6,40.4,docker_full,0.0,0.03,66.31,6.065215689992935,7.490820999919379,0.0,72.22,17,1583.6782320557138,0.1894324200002302
18.29,37.83,8.75,41.71,docker_full,0.0,0.02,66.31,6.3075757099674465,7.556263999504154,1.75,73.2,18,1520.0902268848533,0.19735670599948207
0.15,37.3,3.84,41.71,docker_full,0.0,0.1,66.31,5.8293166733589405,7.76354400022683,1.81,72.69,19,1633.4563661791306,0.18365963499945792
0.38,36.86,8.8,42.66,docker_full,0.0,0.03,66.48,5.806491216641613,7.404158999634092,1.76,73.34,20,1644.0994561144485,0.18247071299992967
